cod_dane_mun,Departamento_ocurrencia,Municipio_ocurrencia,total_casos,pct_adolescentes,pct_hospit,pct_psiquia,casos_H1,casos_H2,pct_menores,pct_mujeres,pct_rural,tendencia_H2_H1,poblacion,tasa_x100k,tasa_x100k_norm,pct_adolescentes_norm,tendencia_H2_H1_norm,pct_hospit_norm,pct_psiquia_norm,IPI,nivel_prioridad,ranking_nacional
97001,VAUPES,MITU,73,0.4246575342465753,0.4794520547945205,0.0,31,42,0.4383561643835616,0.684931506849315,0.4794520547945205,0.3548387096774194,33000.0,221.21212121212122,1.0,0.4246575342465753,0.6774193548387097,0.4794520547945205,0.0,63.96,Alta,1
25001,CUNDINAMARCA,AGUA DE DIOS,9,0.6666666666666666,1.0,0.0,3,6,0.6666666666666666,0.7777777777777778,0.1111111111111111,1.0,12000.0,75.0,0.33855882548035465,0.6666666666666666,1.0,1.0,0.0,58.52,Media,2
91536,AMAZONAS,PUERTO ARICA (CD),1,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,52000.0,1.9230769230769231,0.007970051926095881,1.0,1.0,1.0,0.0,55.28,Media,3
25312,CUNDINAMARCA,GRANADA,2,1.0,1.0,0.0,0,2,1.0,1.0,0.0,1.0,232000.0,0.8620689655172414,0.0031702149234932144,1.0,1.0,1.0,0.0,55.11,Media,4
15293,BOYACA,GACHANTIVA,1,1.0,1.0,0.0,0,1,1.0,0.0,1.0,1.0,142000.0,0.7042253521126761,0.0024561546651834863,1.0,1.0,1.0,0.0,55.09,Media,5
15022,BOYACA,ALMEIDA,1,1.0,1.0,0.0,0,1,1.0,0.0,1.0,1.0,142000.0,0.7042253521126761,0.0024561546651834863,1.0,1.0,1.0,0.0,55.09,Media,5
68250,SANTANDER,EL PEÑON,2,1.0,1.0,0.0,0,2,1.0,1.0,0.0,1.0,292000.0,0.6849315068493151,0.0023688722732299263,1.0,1.0,1.0,0.0,55.08,Media,7
18029,CAQUETA,ALBANIA,1,1.0,1.0,0.0,0,1,1.0,0.0,1.0,1.0,185000.0,0.5405405405405406,0.0017156697237180136,1.0,1.0,1.0,0.0,55.06,Media,8
25807,CUNDINAMARCA,TIBIRITA,1,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,232000.0,0.4310344827586207,0.00122028114118588,1.0,1.0,1.0,0.0,55.04,Media,9
68235,SANTANDER,EL CARMEN DE CHUCURI,1,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,292000.0,0.34246575342465757,0.0008196098160542361,1.0,1.0,1.0,0.0,55.03,Media,10
52390,NARIÑO,LA TOLA,1,1.0,1.0,0.0,0,1,1.0,1.0,0.0,1.0,278333.0,0.35928186740343404,0.0008956833323179208,1.0,1.0,1.0,0.0,55.03,Media,10
05284,ANTIOQUIA,FRONTINO,1,1.0,1.0,0.0,0,1,1.0,1.0,0.0,1.0,536250.0,0.1864801864801865,0.00011395507448749988,1.0,1.0,1.0,0.0,55.0,Media,12
66170,RISARALDA,DOSQUEBRADAS,404,0.28465346534653463,0.7821782178217822,0.017326732673267328,204,200,0.31435643564356436,0.6460396039603961,0.01485148514851485,-0.0196078431372549,220000.0,183.63636363636365,0.8300130453047959,0.28465346534653463,0.49019607843137253,0.7821782178217822,0.017326732673267328,53.97,Media,13
15753,BOYACA,SOATA,6,0.8333333333333334,0.8333333333333334,0.0,1,5,0.8333333333333334,0.8333333333333334,0.16666666666666666,1.0,142000.0,4.225352112676056,0.018385191196708183,0.8333333333333334,1.0,0.8333333333333334,0.0,49.81,Media,14
86755,PUTUMAYO,SAN FRANCISCO,4,0.75,1.0,0.0,0,4,0.75,0.5,0.25,1.0,58500.0,6.837606837606838,0.030202630264540186,0.75,1.0,1.0,0.0,49.81,Media,14
25781,CUNDINAMARCA,SUTATAUSA,3,1.0,0.3333333333333333,0.0,0,3,1.0,1.0,0.6666666666666666,1.0,232000.0,1.293103448275862,0.005120148705800547,1.0,1.0,0.3333333333333333,0.0,48.51,Media,16
94001,GUAINIA,PUERTO INIRIDA,28,0.32142857142857145,0.7142857142857143,0.0,10,18,0.32142857142857145,0.6785714285714286,0.17857142857142858,0.8,30000.0,93.33333333333333,0.4214960090211599,0.32142857142857145,0.9,0.7142857142857143,0.0,47.93,Media,17
17380,CALDAS,LA DORADA,124,0.23387096774193547,0.5645161290322581,0.0,52,72,0.2661290322580645,0.5,0.03225806451612903,0.38461538461538464,87000.0,142.52873563218392,0.6440484513751704,0.23387096774193547,0.6923076923076923,0.5645161290322581,0.0,47.88,Media,18
73411,TOLIMA,LIBANO,31,0.3225806451612903,1.0,0.0,9,22,0.3225806451612903,0.6129032258064516,0.41935483870967744,1.0,51000.0,60.78431372549019,0.2742492446599441,0.3225806451612903,1.0,1.0,0.0,47.66,Media,19
05615,ANTIOQUIA,RIONEGRO,214,0.21495327102803738,0.5514018691588785,0.04672897196261682,108,106,0.22429906542056074,0.6261682242990654,0.24299065420560748,-0.018518518518518517,128000.0,167.1875,0.7556009131713357,0.21495327102803738,0.49074074074074076,0.5514018691588785,0.04672897196261682,47.62,Media,20
15001,BOYACA,TUNJA,329,0.23404255319148937,0.7689969604863222,0.00303951367781155,167,162,0.24620060790273557,0.6322188449848024,0.03343465045592705,-0.029940119760479042,215000.0,153.02325581395348,0.6915240484563399,0.23404255319148937,0.48502994011976047,0.7689969604863222,0.00303951367781155,47.48,Media,21
