cod_dane_mun,Departamento_ocurrencia,Municipio_ocurrencia,total_casos,pct_adolescentes,pct_hospit,pct_psiquia,casos_H1,casos_H2,pct_menores,pct_mujeres,pct_rural,tendencia_H2_H1,poblacion,tasa_x100k,tasa_x100k_norm,pct_adolescentes_norm,tendencia_H2_H1_norm,pct_hospit_norm,pct_psiquia_norm,IPI,nivel_prioridad,ranking_nacional
97001,VAUPES,MITU,75,0.4266666666666667,0.48,0.0,32,43,0.44,0.68,0.48,0.34375,33000.0,227.27272727272725,1.0,0.4266666666666667,0.671875,0.48,0.0,63.9,Alta,1
25001,CUNDINAMARCA,AGUA DE DIOS,9,0.6666666666666666,1.0,0.0,3,6,0.6666666666666666,0.7777777777777778,0.1111111111111111,1.0,12000.0,75.0,0.329524178449222,0.6666666666666666,1.0,1.0,0.0,58.2,Media,2
66170,RISARALDA,DOSQUEBRADAS,407,0.2874692874692874,0.7813267813267813,0.0171990171990172,205,202,0.3169533169533169,0.6486486486486487,0.0147420147420147,-0.0146341463414634,220000.0,185.0,0.8138679062560528,0.2874692874692874,0.4926829268292683,0.7813267813267813,0.0171990171990172,53.51,Media,13
15753,BOYACA,SOATA,6,0.8333333333333334,0.8333333333333334,0.0,1,5,0.8333333333333334,0.8333333333333334,0.1666666666666666,1.0,142000.0,4.225352112676056,0.0178945712495646,0.8333333333333334,1.0,0.8333333333333334,0.0,49.79,Media,14
17380,CALDAS,LA DORADA,129,0.2248062015503876,0.5426356589147286,0.0,53,76,0.2558139534883721,0.5038759689922481,0.0310077519379844,0.4339622641509434,87000.0,148.27586206896552,0.6521669438377848,0.2248062015503876,0.7169811320754718,0.5426356589147286,0.0,48.21,Media,17
94001,GUAINIA,PUERTO INIRIDA,28,0.3214285714285714,0.7142857142857143,0.0,10,18,0.3214285714285714,0.6785714285714286,0.1785714285714285,0.8,30000.0,93.33333333333331,0.4102481330836938,0.3214285714285714,0.9,0.7142857142857143,0.0,47.54,Media,18
73411,TOLIMA,LIBANO,32,0.3125,1.0,0.0,9,23,0.3125,0.59375,0.40625,1.0,51000.0,62.74509803921569,0.2755643157256446,0.3125,1.0,1.0,0.0,47.46,Media,19
15001,BOYACA,TUNJA,333,0.2372372372372372,0.7657657657657657,0.003003003003003,168,165,0.2492492492492492,0.6276276276276276,0.033033033033033,-0.0178571428571428,215000.0,154.88372093023256,0.6812621710531256,0.2372372372372372,0.4910714285714285,0.7657657657657657,0.003003003003003,47.28,Media,20
05615,ANTIOQUIA,RIONEGRO,216,0.2175925925925926,0.5462962962962963,0.0462962962962962,109,107,0.2268518518518518,0.625,0.25,-0.018348623853211,128000.0,168.75,0.7423171282845892,0.2175925925925926,0.4908256880733945,0.5462962962962963,0.0462962962962962,47.16,Media,21
52001,NARIÑO,PASTO,718,0.2061281337047353,0.7618384401114207,0.0027855153203342,355,363,0.224233983286908,0.5974930362116991,0.0389972144846796,0.0225352112676056,470000.0,152.7659574468085,0.6719373941424457,0.2061281337047353,0.5112676056338028,0.7618384401114207,0.0027855153203342,46.54,Media,22
88564,SAN ANDRES,PROVIDENCIA,6,0.6666666666666666,0.8333333333333334,0.0,2,4,0.6666666666666666,1.0,0.0,1.0,79000.0,7.59493670886076,0.0327312727448062,0.6666666666666666,1.0,0.8333333333333334,0.0,46.15,Media,25
66001,RISARALDA,PEREIRA,615,0.3024390243902439,0.7983739837398374,0.0211382113821138,296,319,0.3154471544715447,0.6894308943089431,0.024390243902439,0.0777027027027027,490000.0,125.51020408163264,0.5519269106054199,0.3024390243902439,0.5388513513513513,0.7983739837398374,0.0211382113821138,45.85,Media,26
15842,BOYACA,UMBITA,5,0.6,1.0,0.0,1,4,0.8,0.4,1.0,1.0,142000.0,3.5211267605633805,0.0147937791381252,0.6,1.0,1.0,0.0,45.52,Media,27
70717,SUCRE,SAN PEDRO,14,0.6428571428571429,0.7857142857142857,0.0,3,11,0.6428571428571429,0.7857142857142857,0.2142857142857142,1.0,196000.0,7.142857142857143,0.0307407099969563,0.6428571428571429,1.0,0.7857142857142857,0.0,45.0,Media,31
85001,CASANARE,YOPAL,177,0.2372881355932203,0.903954802259887,0.0169491525423728,77,100,0.2994350282485876,0.632768361581921,0.0338983050847457,0.2987012987012987,165000.0,107.27272727272728,0.4716250242107302,0.2372881355932203,0.6493506493506493,0.903954802259887,0.0169491525423728,44.64,Media,34
20787,CESAR,TAMALAMEQUE,5,0.8,0.4,0.0,1,4,0.8,0.8,0.0,1.0,327500.0,1.5267175572519085,0.0060121465171786,0.8,1.0,0.4,0.0,44.21,Media,35
19392,CAUCA,LA SIERRA,7,0.7142857142857143,0.5714285714285714,0.0,2,5,0.7142857142857143,0.7142857142857143,1.0,1.0,354000.0,1.9774011299435028,0.0079965625322581,0.7142857142857143,1.0,0.5714285714285714,0.0,43.85,Media,36
13268,BOLIVAR,EL PEÑON,6,0.6666666666666666,0.6666666666666666,0.0,2,4,0.8333333333333334,0.8333333333333334,0.1666666666666666,1.0,620000.0,0.967741935483871,0.0035509070953579,0.6666666666666666,1.0,0.6666666666666666,0.0,43.46,Media,40
95200,GUAVIARE,MIRAFLORES,8,0.625,0.625,0.0,2,6,0.625,0.75,0.375,1.0,77000.0,10.38961038961039,0.0450365697315145,0.625,1.0,0.625,0.0,43.45,Media,41
08433,ATLANTICO,MALAMBO,132,0.4090909090909091,0.4621212121212121,0.0075757575757575,59,73,0.4393939393939394,0.7045454545454546,0.0,0.2372881355932203,130000.0,101.53846153846156,0.4463763365564644,0.4090909090909091,0.6186440677966102,0.4621212121212121,0.0075757575757575,42.92,Media,44
91001,AMAZONAS,LETICIA,61,0.4098360655737705,0.6065573770491803,0.0,33,28,0.4262295081967213,0.4918032786885246,0.0655737704918032,-0.1515151515151515,52000.0,117.30769230769232,0.5158102276056955,0.4098360655737705,0.4242424242424242,0.6065573770491803,0.0,42.85,Media,45
91407,AMAZONAS,LA PEDRERA (CD),7,0.4285714285714285,1.0,0.0,2,5,0.4285714285714285,0.4285714285714285,0.5714285714285714,1.0,52000.0,13.461538461538462,0.0585626524034426,0.4285714285714285,1.0,1.0,0.0,42.76,Media,46
86568,PUTUMAYO,PUERTO ASIS,69,0.2753623188405797,0.8985507246376812,0.0,37,32,0.3188405797101449,0.5797101449275363,0.2028985507246377,-0.1351351351351351,58500.0,117.94871794871796,0.5186327435020056,0.2753623188405797,0.4324324324324324,0.8985507246376812,0.0,42.67,Media,49
68081,SANTANDER,BARRANCABERMEJA,257,0.3540856031128405,0.7198443579766537,0.0389105058365758,148,109,0.3696498054474708,0.642023346303502,0.0428015564202334,-0.2635135135135135,210000.0,122.38095238095237,0.5381484248422075,0.3540856031128405,0.3682432432432432,0.7198443579766537,0.0389105058365758,42.64,Media,50
99524,VICHADA,LA PRIMAVERA,9,0.7777777777777778,0.8888888888888888,0.0,5,4,0.7777777777777778,0.6666666666666666,0.2222222222222222,-0.2,22000.0,40.90909090909091,0.1794176512363612,0.7777777777777778,0.4,0.8888888888888888,0.0,42.61,Media,51
23672,CORDOBA,SAN ANTERO,14,0.5,0.8571428571428571,0.0714285714285714,4,10,0.5,0.8571428571428571,0.2142857142857142,1.0,317500.0,4.409448818897638,0.0187051720220039,0.5,1.0,0.8571428571428571,0.0714285714285714,42.44,Media,53
23678,CORDOBA,SAN CARLOS,11,0.7272727272727273,0.3636363636363636,0.0,3,8,0.7272727272727273,0.6363636363636364,0.1818181818181818,1.0,317500.0,3.4645669291338583,0.0145447391417734,0.7272727272727273,1.0,0.3636363636363636,0.0,42.33,Media,54
73030,TOLIMA,AMBALEMA,9,0.5555555555555556,0.7777777777777778,0.0,3,6,0.5555555555555556,0.7777777777777778,0.0,1.0,222667.0,4.041910116901023,0.0170868532489282,0.5555555555555556,1.0,0.7777777777777778,0.0,42.26,Media,55
19001,CAUCA,POPAYAN,426,0.2699530516431925,0.7723004694835681,0.0070422535211267,222,204,0.2816901408450704,0.5915492957746479,0.136150234741784,-0.081081081081081,354000.0,120.33898305084745,0.529157379047569,0.2699530516431925,0.4594594594594594,0.7723004694835681,0.0070422535211267,42.25,Media,56
13873,BOLIVAR,VILLANUEVA,12,0.5,0.75,0.1666666666666666,2,10,0.5,0.6666666666666666,0.0,1.0,620000.0,1.935483870967742,0.0078119956097875,0.5,1.0,0.75,0.1666666666666666,41.94,Media,57
68001,SANTANDER,BUCARAMANGA,606,0.2689768976897689,0.8877887788778878,0.1881188118811881,323,283,0.2854785478547855,0.5478547854785478,0.0016501650165016,-0.1238390092879257,600000.0,101.0,0.4440054232035639,0.2689768976897689,0.4380804953560371,0.8877887788778878,0.1881188118811881,41.79,Media,58
15572,BOYACA,PUERTO BOYACA,57,0.3859649122807017,0.5789473684210527,0.0,18,39,0.4035087719298245,0.631578947368421,0.0701754385964912,1.0,142000.0,40.140845070422536,0.1760349689329728,0.3859649122807017,1.0,0.5789473684210527,0.0,41.6,Media,59
17001,CALDAS,MANIZALES,596,0.2164429530201342,0.7281879194630873,0.0201342281879194,340,256,0.2231543624161074,0.6174496644295302,0.0385906040268456,-0.2470588235294117,435000.0,137.01149425287355,0.6025685265702097,0.2164429530201342,0.3764705882352941,0.7281879194630873,0.0201342281879194,41.51,Media,60
15638,BOYACA,SACHICA,7,0.4285714285714285,1.0,0.0,2,5,0.4285714285714285,1.0,0.2857142857142857,1.0,142000.0,4.929577464788732,0.020995363361004,0.4285714285714285,1.0,1.0,0.0,41.45,Media,61
13430,BOLIVAR,MAGANGUE,69,0.6811594202898551,0.2608695652173913,0.0434782608695652,29,40,0.7246376811594203,0.6956521739130435,0.0,0.3793103448275862,140000.0,49.285714285714285,0.2163009693515213,0.6811594202898551,0.6896551724137931,0.2608695652173913,0.0434782608695652,41.44,Media,62
25506,CUNDINAMARCA,OSPINA PEREZ (VENECIA),5,0.8,0.6,0.0,2,3,0.8,0.4,0.6,0.5,232000.0,2.155172413793103,0.008779311680592,0.8,0.75,0.6,0.0,41.31,Media,63
08421,ATLANTICO,LURUACO,13,0.6153846153846154,0.5384615384615384,0.0,4,9,0.6153846153846154,0.7692307692307693,0.0769230769230769,1.0,723333.0,1.797235851260761,0.0072032723259076,0.6153846153846154,1.0,0.5384615384615384,0.0,41.02,Media,65
23574,CORDOBA,PUERTO ESCONDIDO,14,0.5,0.7857142857142857,0.0,4,10,0.5,0.7857142857142857,0.3571428571428571,1.0,317500.0,4.409448818897638,0.0187051720220039,0.5,1.0,0.7857142857142857,0.0,41.01,Media,66
23815,CORDOBA,TUCHIN,8,0.625,0.5,0.0,1,7,0.625,0.25,0.625,1.0,317500.0,2.5196850393700787,0.0103843062615429,0.625,1.0,0.5,0.0,40.99,Media,67
76869,VALLE,VIJES,25,0.68,0.24,0.08,6,19,0.68,0.64,0.0,1.0,685000.0,3.649635036496351,0.0153596171146653,0.68,1.0,0.24,0.08,40.74,Media,68
41551,HUILA,PITALITO,119,0.3361344537815126,0.8739495798319328,0.0,57,62,0.3445378151260504,0.5882352941176471,0.453781512605042,0.087719298245614,145000.0,82.06896551724138,0.3606497158161187,0.3361344537815126,0.543859649122807,0.8739495798319328,0.0,40.64,Media,69
68276,SANTANDER,FLORIDABLANCA,219,0.3561643835616438,0.817351598173516,0.0045662100456621,103,116,0.365296803652968,0.6666666666666666,0.0365296803652968,0.1262135922330097,280000.0,78.21428571428571,0.3436770795864346,0.3561643835616438,0.5631067961165048,0.817351598173516,0.0045662100456621,40.41,Media,70
73483,TOLIMA,NATAGAIMA,8,0.625,0.75,0.0,3,5,0.625,0.875,0.375,0.6666666666666666,222667.0,3.592808992800909,0.0151094049524838,0.625,0.8333333333333333,0.75,0.0,40.32,Media,71
73236,TOLIMA,DOLORES,5,0.6,1.0,0.0,2,3,0.6,0.8,0.4,0.5,222667.0,2.245505620500568,0.0091770600631505,0.6,0.75,1.0,0.0,40.32,Media,71
